'INCIDENT REGION','RESPONSE TYPE','INCIDENT START DATE','INCIDENT START TIME','SUBJECT NUMBER','SUBJECT GENDER','SUBJECT AGE','SUBJECT STATE','SUBJECT COUNTRY',ACTIVITY,SITUATION,'LOCATION FOUND LATITUDE','LOCATION FOUND LONGITUDE','LOCATION FOUND ELEVATION','FOUND IN SEARCH AREA',TECHNIQUE,'NUMBER OF RANGERS INVOLVED','OTHER AGENCY INVOLVEMENT','LAST KNOWN POINT LAND CLASS','LAST KNOWN POINT STATE LAND NAME','LAST KNOWN POINT COUNTY','LAST KNOWN POINT MUNICIPALITY','INCIDENT ADIRONDACK PARK','INCIDENT CATSKILL PARK','INCIDENT CLOSED DATE','INCIDENT CLOSED TIME'
2,Rescue,10/31/2012,'9:47 AM',2,M,?,NY,US,'Flood Victim',Stranded,40.57678,-74.00043,20,FALSE,?,3,TRUE,'Private Land',na,KINGS,BROOKLYN,FALSE,FALSE,11/01/2012,'7:30 AM'
3,Search,03/08/2012,'12:10 PM',1,M,63,NY,US,Runaway,Missing,41.7093,-74.73742,1217,TRUE,?,8,TRUE,'Private Land',NA,SULLIVAN,THOMPSON,FALSE,FALSE,03/09/2012,'10:45 AM'
6,Recovery,08/25/2017,'7:13 AM',2,M,47,NY,US,Fishing,Injured,44.47172,-75.64377,283,TRUE,'Vehicle/boat evacuation',6,TRUE,'Other Municipal Land','Black Lake','ST LAWRENCE',MORRISTOWN,FALSE,FALSE,08/27/2017,'11:15 AM'
5,Search,04/20/2017,'6:02 AM',2,M,8,NY,US,Hiking,Lost,44.34401,-74.10859,1535,FALSE,'Assist/own power',2,TRUE,'Forest Preserve','McKenzie Mountain Wilderness',ESSEX,'ST ARMAND',TRUE,FALSE,04/20/2017,'8:30 AM'
5,Rescue,10/15/2018,'12:23 PM',1,F,20,NY,US,Hiking,Injured,44.39007,-73.85954,2040,FALSE,'Carry out by foot',2,TRUE,'Forest Preserve','Wilmington Wild Forest',ESSEX,WILMINGTON,TRUE,FALSE,10/15/2018,'1:45 AM'
6,Search,06/23/2016,'7:40 AM',2,M,16,NY,US,Hiking,Lost,44.34005,-75.32338,655,TRUE,'Assist/own power',3,TRUE,'State Forests','Wolf Lake','ST LAWRENCE',EDWARDS,FALSE,FALSE,06/24/2016,'1:30 AM'
5,Rescue,11/08/2016,'4:02 AM',2,F,55,FL,US,Hiking,Overdue,43.61569,-73.60901,400,TRUE,'Assist/own power; Vehicle/boat evacuation',1,FALSE,'Forest Preserve','Lake George Wild Forest',WARREN,BOLTON,TRUE,FALSE,11/08/2016,'6:30 AM'
5,Search,06/19/2017,'1:58 AM',3,M,8,NY,US,Hiking,Lost,43.85988,-73.64556,1400,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Pharoah Lakes Wilderness',ESSEX,SCHROON,TRUE,FALSE,06/19/2017,'5:00 AM'
3,Search,06/08/2016,'4:39 AM',2,M,77,CT,US,Hiking,Overdue,42.02414,-74.59943,2585,TRUE,'Assist/own power; Vehicle/boat evacuation',3,FALSE,'Forest Preserve','Balsam Lake Mountain',ULSTER,HARDENBURGH,FALSE,TRUE,06/08/2016,'8:00 AM'
4,Rescue,08/31/2017,'10:52 AM',1,M,75,NY,US,Hiking,Injured,42.19363,-74.06623,1698,TRUE,'Carry out by foot; Technical Rope',4,TRUE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,08/31/2017,'1:30 AM'
4,Search,11/14/2016,'6:00 AM',6,F,9,NY,US,Hiking,Lost,42.11978,-74.09293,2475,FALSE,'Assist/own power',1,FALSE,'Forest Preserve','Indian Head Wilderness Area',GREENE,HUNTER,FALSE,TRUE,11/14/2016,'8:00 AM'
5,Search,06/04/2018,'10:05 AM',2,F,10,MA,US,Hiking,Overdue,44.13636,-73.86819,2950,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,06/04/2018,'11:45 AM'
5,Rescue,09/04/2018,'7:04 AM',1,F,18,NY,US,Hiking,Injured,43.45541,-74.45503,1892,TRUE,'Carry out by foot',3,TRUE,'Forest Preserve','Moose River Plains Wild Forest',HAMILTON,INLET,TRUE,FALSE,09/04/2018,'9:54 AM'
5,Search,08/17/2016,'7:08 AM',1,F,48,NY,US,Hiking,Overdue,44.18618,-74.25239,1116,TRUE,'Assist/own power',2,FALSE,'Forest Preserve','Giant Mountain Wilderness',ESSEX,KEENE,TRUE,FALSE,08/17/2016,'8:29 AM'
4,Search,08/24/2016,'8:40 AM',2,F,17,NY,US,Hiking,Lost,42.18917,-74.06824,1835,TRUE,'Assist/own power',1,FALSE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,08/24/2016,'11:00 AM'
5,Search,07/12/2017,'7:57 AM',3,M,36,NY,US,Hiking,Overdue,44.07667,-74.08682,1954,TRUE,'Assist/own power',3,FALSE,'Forest Preserve','Western High Peaks Wilderness',ESSEX,NEWCOMB,TRUE,FALSE,07/12/2017,'10:18 AM'
5,Search,09/19/2018,'5:03 AM',3,M,25,NY,US,Hiking,Lost,44.07147,-73.96227,2484,TRUE,'Assist/own power; Vehicle/boat evacuation',3,TRUE,'Forest Preserve','E. High Peaks Wilderness',ESSEX,NEWCOMB,TRUE,FALSE,09/19/2018,'2:30 AM'
4,Search,12/15/2017,'1:40 AM',1,M,77,NY,US,Hunting,Missing,42.51015,-74.74967,1740,TRUE,'Carry out by foot; Vehicle/boat evacuation',29,TRUE,'Private Land','Private Land',DELAWARE,HARPERSFIELD,FALSE,FALSE,12/21/2017,'1:53 AM'
5,Search,09/29/2016,'11:45 AM',1,M,30,NY,US,Hiking,Fugitive,44.04358,-73.80508,2100,TRUE,'Assist/own power',3,TRUE,'Forest Preserve','Dix Mountain Wilderness',ESSEX,'NORTH HUDSON',TRUE,FALSE,10/23/2016,'11:00 AM'
4,Rescue,06/12/2018,'12:30 PM',1,F,15,NY,US,Hiking,Injured,42.19331,-74.06487,1811,FALSE,'Assist/own power',2,TRUE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,06/12/2018,'2:30 AM'
